"","xbin","zbin","bin.hits","sky.hits","can.hits","lidar.pulses","Freq","hit.count","phi","dee","sum.dee","fee","cvr","olai","vai"
"166",19,13,0,0,0,230,1,0,1,0,0,0,0,0,0
"167",19,14,0,0,0,230,1,0,1,0,0,0,0,0,0
"168",19,15,0,0,0,230,1,0,1,0,0,0,0,0,0
"193",20,0,0,229,0,229,1,0,1,0,0,0,0,0,0
"194",20,1,0,0,0,229,1,0,1,0,0,0,0,0,0
"201",20,2,0,0,0,229,1,0,1,0,0,0,0,0,0
"202",20,3,0,0,0,229,1,0,1,0,0,0,0,0,0
"203",20,4,0,0,0,229,1,0,1,0,0,0,0,0,0
"204",20,5,0,0,0,229,1,0,1,0,0,0,0,0,0
"205",20,6,0,0,0,229,1,0,1,0,0,0,0,0,0
"206",20,7,0,0,0,229,1,0,1,0,0,0,0,0,0
"207",20,8,0,0,0,229,1,0,1,0,0,0,0,0,0
"208",20,9,0,0,0,229,1,0,1,0,0,0,0,0,0
"195",20,10,0,0,0,229,1,0,1,0,0,0,0,0,0
"196",20,11,0,0,0,229,1,0,1,0,0,0,0,0,0
"197",20,12,0,0,0,229,1,0,1,0,0,0,0,0,0
"198",20,13,0,0,0,229,1,0,1,0,0,0,0,0,0
"199",20,14,0,0,0,229,1,0,1,0,0,0,0,0,0
"200",20,15,0,0,0,229,1,0,1,0,0,0,0,0,0
"209",21,0,0,229,0,229,1,0,1,0,0,0,0,0,0
"210",21,1,0,0,0,229,1,0,1,0,0,0,0,0,0
"217",21,2,0,0,0,229,1,0,1,0,0,0,0,0,0
"218",21,3,0,0,0,229,1,0,1,0,0,0,0,0,0
"219",21,4,0,0,0,229,1,0,1,0,0,0,0,0,0
"220",21,5,0,0,0,229,1,0,1,0,0,0,0,0,0
"221",21,6,0,0,0,229,1,0,1,0,0,0,0,0,0
"222",21,7,0,0,0,229,1,0,1,0,0,0,0,0,0
"223",21,8,0,0,0,229,1,0,1,0,0,0,0,0,0
"224",21,9,0,0,0,229,1,0,1,0,0,0,0,0,0
